Deltat;T;DeltaT;pinj;pdet
0.04;197.2141;0;261.1113;213.38654
0.05;197.4806;0;261.12102;213.36459
0.05;197.7471;0;261.13073;213.34266
0.04;197.9603;0;261.13849;213.32513
0.05;198.2268;0;261.14818;213.30325
0.05;198.4933;0;261.15785;213.28138
0.04;198.7065;0;261.16558;213.26391
0.05;198.973;0;261.17524;213.24209
0.04;199.1862;0;261.18295;213.22465
0.05;199.4527;0;261.19258;213.20287
0.05;199.7192;0;261.2022;213.18112
0.04;199.9324;0;261.20989;213.16374
0.05;200.1989;0;261.21948;213.14203
0.05;200.4654;0;261.22907;213.12034
0.04;200.6786;0;261.23673;213.10301
0.05;200.9451;0;261.24629;213.08136
0.04;201.1583;0;261.25394;213.06406
0.05;201.4248;0;261.26348;213.04246
0.05;201.6913;0;261.27301;213.02088
0.04;201.9045;0;261.28062;213.00364
0.05;202.171;0;261.29013;212.9821
0.05;202.4375;0;261.29963;212.96059
0.04;202.6507;0;261.30722;212.9434
0.05;202.9172;0;261.31669;212.92193
0.04;203.1304;0;261.32427;212.90477
0.05;203.3969;0;261.33372;212.88334
0.05;203.6634;0;261.34316;212.86194
0.04;203.8766;0;261.35071;212.84483
0.05;204.1431;0;261.36013;212.82347
0.05;204.4096;0;261.36954;212.80213
0.04;204.6228;0;261.37706;212.78507
0.05;204.8893;0;261.38645;212.76377
0.04;205.1025;0;261.39395;212.74675
0.05;205.369;0;261.40332;212.7255
0.05;205.6355;0;261.41267;212.70426
0.04;205.8487;0;261.42015;212.68729
0.05;206.1152;0;261.42948;212.6661
0.05;206.3817;0;261.4388;212.64493
0.04;206.5949;0;261.44625;212.62801
0.05;206.8614;0;261.45556;212.60689
0.04;207.0746;0;261.46299;212.59
0.05;207.3411;0;261.47227;212.56892
0.05;207.6076;0;261.48154;212.54785
0.04;207.8208;0;261.48895;212.53102
0.05;208.0873;0;261.4982;212.51
0.05;208.3538;0;261.50743;212.489
0.04;208.567;0;261.51481;212.47221
0.05;208.8335;0;261.52403;212.45126
0.04;209.0467;0;261.5314;212.43451
0.05;209.3132;0;261.54059;212.41359
0.05;209.5797;0;261.54978;212.39269
0.04;209.7929;0;261.55712;212.37599
0.05;210.0594;0;261.56628;212.35514
0.05;210.3259;0;261.57543;212.33431
0.04;210.5391;0;261.58275;212.31766
0.05;210.8056;0;261.59188;212.29687
0.04;211.0188;0;261.59918;212.28025
0.05;211.2853;0;261.60829;212.2595
0.05;211.5518;0;261.61739;212.23877
0.04;211.765;0;261.62466;212.22221
